attr1,attr2,attr3,outlier
0.21033099148747317,0.23356018090290254,0.13320427860602896,no
0.2086354250567611,0.2352310886981242,0.13271105240925746,no
0.2547475678846065,0.26455902247552693,0.1494380647630818,no
0.2851176719530413,0.27959973743480926,0.1679101498238062,no
0.26368084227545263,0.26965307002444844,0.15349651263056419,no
0.34123165042564085,0.324239042581968,0.20738777569930383,no
0.29118083960901997,0.2870127256384408,0.15526747498433457,no
0.24007787516027204,0.25432264392609094,0.13468007879654553,no
0.19211372655425143,0.23059066258641686,0.10029395773416598,no
0.16676094275243555,0.18413559928925755,0.08328731806778529,no
0.23518797413380102,0.2481180457019791,0.1161096045771111,no
0.2282606182294549,0.26279662695217626,0.12791600078836712,no
0.14825350781129645,0.2147608711867806,0.07161297340033503,no
0.09925360283985124,0.15080002430494777,0.06283326445277584,no
0.1645720914502953,0.18923473122799478,0.11185438370508498,no
0.14993394029487514,0.17345449568109506,0.08755160270701044,no
0.2359550162138265,0.26955649790650377,0.12380835568509153,no
0.22217221524732902,0.2582337130150534,0.12501359233025083,no
0.2957225407680214,0.2945604058467374,0.16656898854791957,no
0.33991329361463507,0.3373242229967691,0.17216537069583232,no
0.3184310465630288,0.3419735402722054,0.17360621747227933,no
0.25793559106005903,0.2993240827823349,0.15470174927572344,no
0.18861409318098096,0.2394267845363462,0.10745158706430837,no
0.137126339195112,0.15097156379518967,0.05737539430641454,no
0.2488269534159089,0.2571473066730389,0.1239805353846151,no
0.1732732360478547,0.2084762264153147,0.0814283319772305,no
0.12658959644115836,0.14269199219137846,0.06357375191885824,no
0.14736156795272218,0.1638369212681559,0.07316385516063889,no
0.17511893040572343,0.17528042261072685,0.07299168077399175,no
0.23222955929003639,0.26555902547922794,0.11581703509755774,no
0.26239402703336123,0.25478134975312083,0.11805274131752867,no
0.23611271370331952,0.2600011929282197,0.13427228896573423,no
0.2481318221780783,0.260044391989997,0.16530290884182025,no
0.21874449271625337,0.21748133783843993,0.10998504281835729,no
0.27871387399192915,0.2473302416627688,0.10185908331619357,no
